LakeName,ID,lat,long,UTME,UTMN,Datum/Zone,quad,area,ShedArea,Elev,VegClass,RockType,Cover,A,B,C,D,pHField,pHLab,Cond,uS25,HCO3,Cl,NO3,SO4,MicrEquiL,Ca,Mg,Na,K,SampleDate,Investigator,SedWetWt,gcm3,SedDryWt,IngnLoss,SLIPdata,N,S,Shannon_Diversity,sigma,p,fishers_alpha,alpha,theta
Barney,30,"37d33'47""",118d58,326250.0,4158951.0,NAD27/11,Mt. Morrison,3.11,98.4,3097.0,3.0,,,1.0,4.0,1.0,1.0,8.77,9.53,56.0,,392.0,6.68,0.0,157.0,,497.0,8.68,80.8,4.97,8/9/1985 0:00:00,J.S. and R.W.H.,1.43,,0.09,13.3,,515.0,36.0,2.0528879609744983,1.634105055702682,0.9831788763403898,8.812471009733594,-0.5910346356528686,1.0006136976370021
Bright Dot,29,"37d32'40""","118d51'40""",335582.0,4156695.0,NAD27/11,Mt. Morrison,11.4,140.0,3194.0,3.0,,,3.0,3.0,1.0,1.0,9.07,9.03,67.0,,627.0,2.44,0.0,67.2,,699.0,21.8,10.8,5.95,8/18/1985 0:00:00,J.S. and R.W.H.,1.11,,0.05,28.1,,514.0,58.0,2.8506822032886467,1.3870332092887208,0.9683573767542845,16.79577097831856,-0.5092880930161034,0.9941119585751134
Constance,23,"37d30'55""","118d52'2""",334978.0,4153470.0,NAD27/11,Mt. Morrison,14.0,207.0,3292.0,1.0,,,1.0,4.0,1.0,1.0,7.95,7.42,,,271.5,1.94,2.1,97.8,,345.0,12.4,8.27,7.58,8/20/1985 0:00:00,J.S. and R.W.H.,1.12,,0.17,8.24,,521.0,61.0,3.129762865341655,1.3007531614754377,0.9667434617877012,17.92270610326906,-0.29900240858392324,0.984598314039399
Convict,28,"37d35'30""","118d51'25""",336054.0,4161928.0,NAD27/11,Mt. Morrison,74.6,4999.0,2310.0,5.0,,,3.0,3.0,3.0,1.0,8.4,8.35,119.0,,1051.0,1.86,0.0,231.8,,1234.0,35.1,51.3,15.6,7/3/1985 0:00:00,J.S. and R.W.H.,0.91,,0.22,6.56,,514.0,43.0,2.090948831371308,1.5746361121358503,0.9787376001477247,11.166467267345169,-0.6797737385977392,1.0013212612031022
Dade,10,"37d22'47""","118d45'42""",344026.0,4138249.0,NAD27/11,MT ABBOT,3.11,130.0,3511.0,1.0,,,1.0,1.0,4.0,1.0,6.8,6.48,4.9,,24.0,1.18,,5.84,,31.7,2.45,5.28,2.18,8/7/1985 0:00:00,J.S. and R.W.H.,1.87,,1.26,1.08,yes,514.0,39.0,2.4245172233617036,1.5558670798969607,0.981286726891995,9.80263472015792,-0.4278803565263853,0.9962309755201577
Dorothy,19,"37d32'10""","118d52'55""",333723.0,4155807.0,NAD27/11,Mt Morrison,61.6,396.0,3121.0,3.0,,,1.0,3.0,3.0,1.0,7.46,7.2,22.9,,138.5,2.66,0.72,83.2,,189.6,21.3,18.0,7.64,8/20/1985 0:00:00,J.S. and R.W.H.,1.36,,0.28,6.24,,517.0,47.0,2.0732172946310916,1.439595823036591,0.9762780591845518,12.56229398929648,-0.5318559485209498,0.9972366368098198
Eastern Brook,20,,,,,,,,,,,,,,,,,7.35,7.22,12.0,,132.2,4.7,,6.21,,98.9,14.7,28.5,9.97,7/3/1985 0:00:00,J.S. and R.W.H.,1.24,,0.07,23.1,,522.0,58.0,3.291245203844674,1.2824614983215468,0.9690077975392347,16.695357544284686,-0.10152511805720087,0.9753181562189843
Eastern Twin,26,"38d9'40""","119d20'0""",295570.0,4226058.0,NAD27/11,MatterHrn. Pk.,161.0,6786.0,2158.0,5.0,,,2.0,2.0,1.0,4.0,8.14,7.66,49.5,,383.6,5.72,0.0,78.1,,356.0,60.0,71.3,13.9,8/3/1985 0:00:00,J.S. and R.W.H.,0.96,,0.11,12.4,,520.0,38.0,2.529807010340076,1.5046104689880306,0.9821800813078886,9.435277722508099,-0.2652496281735064,0.9919924004897289
Fairy Shrimp,4,"37d26'40""","118d45'40""",344210.0,4145430.0,NAD27/11,MT ABBOT,1.3,15.5,3517.0,2.0,,,1.0,1.0,1.0,4.0,6.92,6.3,3.0,,14.6,1.8,3.75,4.15,,16.0,1.96,4.25,2.29,8/11/1985 0:00:00,J.S. and R.W.H.,1.86,,1.36,2.31,,519.0,30.0,1.756407896624537,1.661020791441096,0.9868414178490644,6.927316816887906,-0.5137440923995733,1.000210851508422
Gem,14,"37d26'30""","118d34'11""",361136.0,4144822.0,NAD27/11,MT ABBOT,2.77,1230.0,3595.0,3.0,,,,,,,7.33,6.82,7.4,,77.4,1.89,0.4,7.33,,58.2,8.63,16.8,4.14,7/21/1985 0:00:00,J.S. and R.W.H.,1.66,,1.07,3.0,yes,512.0,48.0,3.1541600713478783,1.2923687978729586,0.9752926304936415,12.970681301545909,0.03565630057139033,0.9733169678229128
Granite,15,"36d51'47""","118d37'12""",355592.0,4080703.0,NAD27/11,Tuol. Meadows,20.7,262.0,3097.0,3.0,,,1.0,1.0,1.0,4.0,6.91,6.91,6.9,,66.9,1.29,0.0,4.65,,49.6,6.68,15.6,4.09,7/5/1985 0:00:00,J.S. and R.W.H.,1.31,,0.03,22.9,,511.0,59.0,3.065927521022916,1.355601835208926,0.9673639014363294,17.23968513933325,-0.3798016968352871,0.9887200879950817
Heather/Tah_,16,"38d52'40""","120d8'10""",748444.0,4306905.0,NAD27/11,Fallen Leaf Lk.,,,,,,,,,,,6.95,6.93,8.1,,67.1,2.08,0.0,12.1,,50.2,5.82,12.1,5.9,8/22/1985 0:00:00,J.S. and R.W.H.,0.99,,0.05,31.8,,511.0,81.0,3.545864511136156,1.1054470758388542,0.9496277794241911,27.105572274503206,-0.16687981962217296,0.9641412573490049
Kuna 11,1,"37d49'50""","119d14'15""",303085.0,4189169.0,NAD27/11,Mono craters,4.92,23.3,3536.0,1.0,,,1.0,1.0,1.0,1.0,7.02,6.25,3.6,,19.1,1.79,4.19,4.17,,16.2,3.28,6.16,3.16,8/14/1985 0:00:00,J.S. and R.W.H.,1.55,,0.66,3.14,,512.0,34.0,2.0707765460810914,1.611658841100653,0.9842610135674482,8.189585173017695,-0.48011609882248607,0.99861277454742
Kuna 11,5,"37d49'50""","119d14'15""",303085.0,4189169.0,NAD27/11,Mono craters,4.92,23.3,3536.0,1.0,,,1.0,1.0,4.0,1.0,7.02,6.25,3.6,,19.1,1.79,4.19,4.17,,16.2,3.28,6.19,3.16,8/14/1985 0:00:00,J.S. and R.W.H.,1.55,,0.66,3.14,,512.0,34.0,2.0707765460810914,1.611658841100653,0.9842610135674482,8.189585173017695,-0.48011609882248607,0.99861277454742
L_ Catherdral,8,"37d50'21""","119d24'50""",287584.0,4190511.0,NAD27/11,Tuol. Meadows,4.66,148.0,2902.0,,,,1.0,1.0,1.0,4.0,6.45,6.44,3.2,,24.6,1.47,0.0,2.6,,16.4,3.23,8.67,1.94,8/16/1985 0:00:00,J.S. and R.W.H.,1.16,,0.06,41.9,,507.0,58.0,3.2644095246829736,1.2300245566282952,0.9677676931023603,16.886059229770492,-0.039673889053838216,0.9703696751726656
Le Conte,11,"38d52'20""","120d8'10""",748463.0,4306288.0,NAD27/11,Fallen Leaf Lk.,,,2500.0,,,,,,,,6.25,6.55,3.1,,31.2,2.82,0.0,3.97,,11.2,2.84,5.13,2.18,8/22/1985 0:00:00,J.S. and R.W.H.,0.9,,0.07,27.7,,496.0,45.0,2.8927257383635934,1.3773440176653262,0.9763412997126585,12.019152584222356,-0.16923269278785996,0.9846081812230152
Lundy,22,"38d1'44""","119d16'13""",300736.0,4211247.0,NAD27/11,Bodie,42.7,4507.0,2390.0,5.0,,,2.0,3.0,3.0,1.0,7.6,7.41,49.9,,260.5,3.67,,175.0,,381.2,27.5,44.2,14.6,8/5/1985 0:00:00,J.S. and R.W.H.,1.29,,0.06,17.3,,506.0,66.0,3.106079463437672,1.2939484057263084,0.9614937976002699,20.264445179747394,-0.4352893449617842,0.988609180516264
Mosquito 1,13,"36d25'28""","118d37'8""",353031.0,3921119.0,NAD27/11,Triple Divide,2.07,127.0,2926.0,4.0,,,2.0,1.0,4.0,1.0,7.13,6.79,7.4,,77.4,1.89,0.4,7.33,,58.2,8.63,16.8,5.15,7/21/1985 0:00:00,J.S. and R.W.H.,0.67,,0.03,41.6,,520.0,64.0,3.3376593043173277,1.2323492001170777,0.9644183889031416,19.185076024512046,-0.12990808518516794,0.9732749046334637
Mosquito 3,6,"36d25'9""","118d37'16""",354661.0,4031461.0,NAD27/11,Triple Divide,0.78,132.0,2999.0,4.0,,,1.0,1.0,4.0,1.0,6.52,6.41,5.8,,51.2,2.19,1.01,9.91,,45.2,5.26,10.5,3.39,7/21/1985 0:00:00,J.S. and R.W.H.,0.91,,0.07,52.5,,514.0,58.0,3.2970733164120403,1.2287788557136452,0.9683573767542845,16.79577097831856,-0.013783400622331722,0.9692572975930747
Mosquito 5,7,"36d24'53""","118d37'35""",354179.0,4030976.0,NAD27/11,Triple Divide,3.11,76.7,3048.0,3.0,,,1.0,1.0,4.0,1.0,6.87,6.42,6.7,,52.8,1.51,2.18,13.25,,51.0,4.49,11.0,3.16,7/21/1985 0:00:00,J.S. and R.W.H.,1.04,,0.11,15.9,,499.0,55.0,3.0216223459523195,1.2708633702469019,0.9693410769104963,15.782685481238266,-0.1630051019335388,0.9791183467795253
Parker Pass,2,"37d50'8""","119d12'35""",305543.0,4189665.0,NAD27/11,Mono craters,2.85,101.0,3316.0,2.0,,,1.0,4.0,1.0,1.0,5.64,5.84,16.0,,5.9,4.15,8.32,106.2,,86.6,17.6,12.7,5.72,8/10/1985 0:00:00,J.S. and R.W.H.,0.99,,0.14,14.2,,517.0,34.0,2.341610924374545,1.4022467289204776,0.9844571873545652,8.164917978628175,-0.12386121216019753,0.9889185223679282
Ruby,17,"37d24'50""","118d46'15""",343286.0,4142056.0,NAD27/11,MT ABBOT,14.5,202.0,3365.0,3.0,,,1.0,1.0,1.0,4.0,7.05,6.95,5.5,,47.3,1.65,2.88,7.04,,43.2,3.72,9.01,3.45,8/11/1985 0:00:00,J.S. and R.W.H.,1.29,,0.08,14.3,yes,511.0,54.0,2.8561996304493684,1.4019856798742483,0.9710237309336668,15.24873184097806,-0.42071762940606744,0.9919604115635015
Summit,12,"37d26'0""","118d46'11""",343425.0,4144211.0,NAD27/11,MT ABBOT,1.81,82.9,3609.0,1.0,,,1.0,1.0,1.0,4.0,7.1,6.6,2.8,,21.4,1.14,0.0,3.88,,13.8,2.18,5.43,4.21,8/11/1985 0:00:00,J.S. and R.W.H.,1.46,,0.8,1.84,yes,507.0,32.0,2.0996198868450318,1.58554398920301,0.9852624014019972,7.5876972001700995,-0.3929611796457251,0.997029162067256
Table Meadow,3,"36d36'33""","118d39'5""",352308.0,4052585.0,NAD27/11,Triple Divide,1.55,25.1,3139.0,2.0,,,1.0,1.0,4.0,1.0,6.6,6.01,5.6,,40.8,4.01,0.78,3.91,,29.8,3.45,13.0,3.22,7/20/1985 0:00:00,J.S. and R.W.H.,0.93,,0.12,19.4,,508.0,65.0,3.2030710041185437,1.2199288493547384,0.9624890163540846,19.79823170265589,-0.24541676090087863,0.9790374864275206
Up_ Treasure,9,"37d23'13""","118d46'0""",343599.0,4139059.0,NAD27/11,MT ABBOT,2.85,184.0,3389.0,3.0,,,1.0,1.0,4.0,1.0,6.89,6.45,5.7,,27.2,1.05,0.0,4.72,,25.7,2.07,5.97,6.52,8/7/1985 0:00:00,J.S. and R.W.H.,1.51,,0.75,3.12,yes,508.0,56.0,3.016673480379344,1.2990612581894538,0.9693351760506635,16.070530892308454,-0.2580275638779572,0.9841000690900645
Upper Angora,18,"38d51'46""","120d3'59""",754547.0,4305432.0,NAD27/11,Fallen Leaf Lk.,5.44,65.3,2292.0,4.0,,,1.0,1.0,4.0,1.0,7.0,6.98,9.9,,88.5,4.95,0.0,1.7,,42.2,12.3,34.3,7.53,8/22/1985 0:00:00,J.S. and R.W.H.,1.16,,0.06,16.1,,507.0,87.0,3.8111612101223846,1.0679190292549445,0.9437204226851469,30.235381851753395,-0.008857911784932336,0.9445963589975408
Upper Frog,24,"38d2'38""","119d17'20""",299143.0,4212952.0,NAD27/11,MatterHrn. Pk.,0.78,57.2,3231.0,2.0,,,1.0,4.0,1.0,1.0,7.85,7.43,55.5,,257.6,2.86,3.29,247.4,,432.0,21.2,35.8,7.18,3/8/1985 0:00:00,J.S. and R.W.H.,1.41,,0.12,13.6,,531.0,20.0,1.085834683046366,1.7520297596663146,0.9924922212958341,4.088461522428674,-0.46535794593145197,1.0015733052103473
Upper Gaylor,21,"37d55'20""","119d16'1""",300740.0,4199403.0,NAD27/11,Tuol. Meadows,4.66,41.2,3121.0,2.0,,,1.0,4.0,1.0,1.0,7.37,7.27,11.9,,102.4,1.17,0.0,20.2,,111.0,5.59,8.77,1.59,,J.S. and R.W.H.,1.14,,0.08,19.4,,511.0,46.0,2.57024239329961,1.5384623926435537,0.9765841141343122,12.252484485121755,-0.5589068829564883,0.9980444083131603
Western Twin,27,"38d8'51""","119d21'40""",293097.0,4224609.0,NAD27/11,MatterHrn. Pk.,120.0,5284.0,2162.0,5.0,,,2.0,2.0,1.0,4.0,7.96,7.8,40.2,,324.4,3.73,0.0,52.1,,322.0,42.1,52.1,9.45,,J.S. and R.W.H.,1.09,,0.11,13.5,,512.0,59.0,3.1117851591291896,1.334592194581809,0.9674498215317732,17.22641605146177,-0.3311173930866585,0.986550107735479
Wit-So-Nah-PAN,25,,,,,,Mt. Morrison,,,,,,,,,,,8.15,7.57,37.4,,228.7,2.15,3.11,132.9,,385.0,11.4,10.1,6.94,8/20/1985 0:00:00,J.S. and R.W.H.,1.5,,0.74,5.11,,515.0,48.0,2.740987623002821,1.4747496652809755,0.975483007729054,12.94362648420936,-0.4521843581477927,0.9947277879988545
